label,area,eccentricity,solidity,mean_intensity,perimeter,major_axis_length,minor_axis_length
1,84.0,0.7440559157258158,0.9545454545454546,0.2200625240802765,32.384776310850235,12.656506033350174,8.45603127980821
2,170.0,0.46737194617842664,0.9659090909090909,0.29116272926330566,45.79898987322333,15.657155547357574,13.841877156326472
3,289.0,0.6406834133627551,0.9863481228668942,0.2736569941043854,60.2842712474619,21.88376805248601,16.802470032640944
4,176.0,0.2393616403421851,0.9617486338797814,0.22003816068172455,47.45584412271571,15.198489895406722,14.756677153129669
5,330.0,0.600761044651898,0.9565217391304348,0.31116747856140137,67.59797974644667,22.950392507963073,18.34720131092129
6,216.0,0.7810220644846587,0.9310344827586207,0.21270152926445007,56.526911934581186,21.012885918632747,13.122619342268367
7,82.0,0.7693351282427628,0.9534883720930233,0.21730954945087433,32.384776310850235,12.795933464251767,8.174623386077197
8,253.0,0.8083562800970061,0.937037037037037,0.2913641631603241,61.112698372208094,23.416191236407855,13.784961315565067
9,563.0,0.8829213631279246,0.8440779610194903,0.29179367423057556,114.08326112068524,42.1779898036911,19.803447328374634
10,106.0,0.1922029908547088,0.9724770642201835,0.26213210821151733,35.31370849898475,11.730812484740934,11.512093722985078
11,311.0,0.3420818156272413,0.9688473520249221,0.28607073426246643,63.11269837220809,20.530628783612713,19.29201947239793
12,227.0,0.6493765112774185,0.9700854700854701,0.2897288501262665,54.04163056034261,19.494781247833817,14.825138945713322
13,340.0,0.677580703981887,0.9550561797752809,0.312082976102829,69.01219330881976,24.279999385800814,17.85668736929532
14,162.0,0.5176388949988985,0.9700598802395209,0.30541491508483887,44.62741699796952,15.520015933197955,13.278913065363984
15,67.0,0.7913612419107443,0.9710144927536232,0.21127237379550934,28.485281374238568,11.777974136795759,7.200450639513799
16,260.0,0.5090464347673217,0.9523809523809523,0.2045554220676422,59.35533905932738,19.632543657330213,16.89849714839707
17,69.0,0.5781030720317131,0.9324324324324325,0.1955132931470871,30.62741699796952,10.426289934290395,8.507474612884277
18,327.0,0.36963440088185845,0.956140350877193,0.20172445476055145,70.32590180780451,21.20666226560429,19.70474867072904
19,321.0,0.5172452394096072,0.9727272727272728,0.2714807987213135,64.76955262170047,21.966370221458714,18.799637418514504
20,162.0,0.5101517598890496,0.9529411764705882,0.20945613086223602,45.45584412271572,15.511159036291481,13.340905973978504
21,180.0,0.5950075049226253,0.9574468085106383,0.21266956627368927,48.2842712474619,16.890851738842073,13.575517783569481
22,232.0,0.6962361694821919,0.9666666666666667,0.2906786799430847,55.45584412271571,20.290420732109588,14.564723442738021
23,125.0,0.4008453935774743,0.9615384615384616,0.28382906317710876,39.45584412271571,13.20539115055461,12.098062512685827
24,81.0,0.41298557032970146,0.9310344827586207,0.19394585490226746,31.79898987322333,10.680498715945212,9.727131431057247
25,315.0,0.9017438799012133,0.8118556701030928,0.22899235785007477,83.01219330881975,33.39868056013432,14.437271680857062
26,156.0,0.5666625712032528,0.968944099378882,0.2396026998758316,43.798989873223334,15.518209098340051,12.786227707589168
